"anno","mes","codigo_provincia","nombre_oficial","siglas_unificadas","votos","total_votos_prov","porcentaje"
1977,"06","47","Valladolid","PSOE",81902,242780,33.74
1977,"06","47","Valladolid","PP",20257,242780,8.34
1977,"06","47","Valladolid","IU_PCE_HISTORICO",19648,242780,8.09
1977,"06","47","Valladolid","OTROS",14658,242780,6.04
1977,"06","47","Valladolid","EXTREMA_DERECHA_ANTIGUA",2942,242780,1.21
1977,"06","49","Zamora","UCD_CDS",58830,128172,45.9
1977,"06","49","Zamora","PP",30832,128172,24.06
1977,"06","49","Zamora","PSOE",29035,128172,22.65
1977,"06","49","Zamora","OTROS",6668,128172,5.2
1977,"06","49","Zamora","IU_PCE_HISTORICO",2807,128172,2.19
1977,"06","50","Zaragoza","PSOE",173929,441999,39.35
1977,"06","50","Zaragoza","UCD_CDS",140367,441999,31.76
1977,"06","50","Zaragoza","OTROS",57287,441999,12.96
1977,"06","50","Zaragoza","PP",35377,441999,8
1977,"06","50","Zaragoza","IU_PCE_HISTORICO",33490,441999,7.58
1977,"06","50","Zaragoza","EXTREMA_DERECHA_ANTIGUA",1549,441999,0.35
1977,"06","05","Ávila","UCD_CDS",71715,105098,68.24
1977,"06","05","Ávila","PSOE",16800,105098,15.99
1977,"06","05","Ávila","PP",7123,105098,6.78
1977,"06","05","Ávila","OTROS",5523,105098,5.26
1977,"06","05","Ávila","IU_PCE_HISTORICO",2793,105098,2.66
1977,"06","05","Ávila","EXTREMA_DERECHA_ANTIGUA",1144,105098,1.09
1979,"03","02","Albacete","PSOE",68334,168947,40.45
1979,"03","02","Albacete","UCD_CDS",65832,168947,38.97
1979,"03","02","Albacete","IU_PCE_HISTORICO",21531,168947,12.74
1979,"03","02","Albacete","PP",8131,168947,4.81
1979,"03","02","Albacete","EXTREMA_DERECHA_ANTIGUA",3756,168947,2.22
1979,"03","02","Albacete","OTROS",1363,168947,0.81
1979,"03","03","Alicante/Alacant","PSOE",223115,554276,40.25
1979,"03","03","Alicante/Alacant","UCD_CDS",208029,554276,37.53
1979,"03","03","Alicante/Alacant","IU_PCE_HISTORICO",67755,554276,12.22
1979,"03","03","Alicante/Alacant","PP",28910,554276,5.22
1979,"03","03","Alicante/Alacant","OTROS",13767,554276,2.48
1979,"03","03","Alicante/Alacant","EXTREMA_DERECHA_ANTIGUA",12700,554276,2.29
1979,"03","04","Almería","UCD_CDS",81586,183644,44.43
1979,"03","04","Almería","PSOE",68148,183644,37.11
1979,"03","04","Almería","IU_PCE_HISTORICO",14749,183644,8.03
1979,"03","04","Almería","PP",8069,183644,4.39
1979,"03","04","Almería","PARTIDO_ANDALUCISTA",5061,183644,2.76
1979,"03","04","Almería","EXTREMA_DERECHA_ANTIGUA",3078,183644,1.68
1979,"03","04","Almería","OTROS",2953,183644,1.61
1979,"03","01","Araba/Álava","UCD_CDS",29577,116225,25.45
1979,"03","01","Araba/Álava","PNV",26738,116225,23.01
1979,"03","01","Araba/Álava","PSOE",25609,116225,22.03
1979,"03","01","Araba/Álava","BILDU_HB",17225,116225,14.82
1979,"03","01","Araba/Álava","OTROS",9403,116225,8.09
1979,"03","01","Araba/Álava","IU_PCE_HISTORICO",6425,116225,5.53
1979,"03","01","Araba/Álava","EXTREMA_DERECHA_ANTIGUA",1053,116225,0.91
1979,"03","01","Araba/Álava","PP",195,116225,0.17
1979,"03","33","Asturias","PSOE",204484,537554,38.04
1979,"03","33","Asturias","UCD_CDS",177544,537554,33.03
1979,"03","33","Asturias","IU_PCE_HISTORICO",79454,537554,14.78
1979,"03","33","Asturias","PP",45761,537554,8.51
1979,"03","33","Asturias","OTROS",17443,537554,3.24
1979,"03","33","Asturias","EXTREMA_DERECHA_ANTIGUA",12868,537554,2.39
1979,"03","06","Badajoz","UCD_CDS",147251,329285,44.72
1979,"03","06","Badajoz","PSOE",126272,329285,38.35
1979,"03","06","Badajoz","IU_PCE_HISTORICO",37362,329285,11.35
1979,"03","06","Badajoz","PP",11331,329285,3.44
1979,"03","06","Badajoz","EXTREMA_DERECHA_ANTIGUA",6259,329285,1.9
1979,"03","06","Badajoz","OTROS",810,329285,0.25
1979,"03","07","Balears, Illes","UCD_CDS",147011,294617,49.9
1979,"03","07","Balears, Illes","PSOE",88560,294617,30.06
1979,"03","07","Balears, Illes","PP",27423,294617,9.31
